Дата,Прогноз
2024-01-01,12.750652919387907
2024-01-02,12.713946890645209
2024-01-03,12.673244647792933
2024-01-04,12.65021540295697
2024-01-05,12.624931887625639
2024-01-06,12.6240049984427
2024-01-07,12.646051780724479
2024-01-08,12.679381760087692
2024-01-09,12.708057153701136
2024-01-10,12.719429038376918
2024-01-11,12.709625412645781
2024-01-12,12.684655994615017
2024-01-13,12.65695760882979
2024-01-14,12.639283026492114
2024-01-15,12.6388990091329
2024-01-16,12.65469966520715
2024-01-17,12.678327322978003
2024-01-18,12.69849637869083
2024-01-19,12.706323792993611
2024-01-20,12.699176352064871
2024-01-21,12.68140120586951
2024-01-22,12.6618393691357
2024-01-23,12.649487008555752
2024-01-24,12.649407591410807
2024-01-25,12.660728624020745
2024-01-26,12.677476395657575
2024-01-27,12.691660409063132
2024-01-28,12.697043343929428
2024-01-29,12.691837552466579
2024-01-30,12.679185705190505
2024-01-31,12.665371819175078
2024-02-01,12.656741296092038
2024-02-02,12.656821133348087
2024-02-03,12.664930388375742
2024-02-04,12.676800213207871
2024-02-05,12.686773753343243
2024-02-06,12.690472140774572
2024-02-07,12.68668405778714
2024-02-08,12.677680141015717
2024-02-09,12.667926360130362
2024-02-10,12.661897880973358
2024-02-11,12.662050585985545
2024-02-12,12.66785773163312
2024-02-13,12.676269410565341
2024-02-14,12.683281305616488
2024-02-15,12.685819784691244
2024-02-16,12.683065740927846
2024-02-17,12.676658861949274
2024-02-18,12.669772643118456
2024-02-19,12.665562868060992
2024-02-20,12.665738962813423
2024-02-21,12.669896479873033
2024-02-22,12.675856837646776
2024-02-23,12.680785811663714
2024-02-24,12.682526318391796
2024-02-25,12.6805257146025
2024-02-26,12.675967447123217
2024-02-27,12.671106295822792
2024-02-28,12.668167378638673
2024-02-29,12.668340095983384
